id,special,date,time,알라딘,지니,자스민,술탄,자파,밥칵
1,프리뷰,11/17(일),19:00,김준수,정원영,최지혜,이상준,윤선용,방보용
2,프리뷰,11/19(화),19:30,박강현,강홍석,이성경,황만익,임별,방보용
3,프리뷰,11/20(수),19:30,서경수,정성화,민경아,이상준,임별,양병철
4,프리뷰,11/21(목),19:30,김준수,강홍석,최지혜,황만익,윤선용,양병철
5,첫공,11/22(금),19:30,김준수,정성화,이성경,이상준,윤선용,방보용
6,,11/23(토),14:00,박강현,정원영,최지혜,황만익,임별,양병철
7,,11/23(토),19:00,김준수,정성화,민경아,황만익,임별,양병철
8,,11/24(일),14:00,박강현,정원영,민경아,이상준,윤선용,방보용
9,,11/24(일),19:00,김준수,강홍석,최지혜,이상준,윤선용,방보용
10,,11/26(화),19:30,박강현,강홍석,이성경,이상준,윤선용,양병철
11,,11/27(수),19:30,김준수,정성화,민경아,황만익,임별,방보용
12,,11/28(목),19:30,김준수,정원영,최지혜,황만익,윤선용,방보용
13,,11/29(금),14:30,박강현,정원영,민경아,이상준,임별,양병철
14,,11/29(금),19:30,김준수,정성화,민경아,이상준,임별,양병철
15,,11/30(토),14:00,박강현,정원영,최지혜,황만익,윤선용,방보용
16,,11/30(토),19:00,김준수,정성화,이성경,황만익,윤선용,방보용
17,,12/01(일),15:00,박강현,정원영,최지혜,이상준,임별,양병철
18,,12/03(화),19:30,김준수,강홍석,최지혜,이상준,임별,양병철
19,,12/04(수),19:30,박강현,정원영,민경아,황만익,윤선용,방보용
20,,12/05(목),19:30,박강현,강홍석,이성경,황만익,임별,양병철
21,,12/06(금),14:30,김준수,정성화,민경아,이상준,윤선용,방보용
22,,12/06(금),19:30,김준수,정원영,민경아,이상준,윤선용,방보용
23,,12/07(토),14:00,박강현,정성화,최지혜,황만익,임별,양병철
24,,12/07(토),19:00,김준수,정원영,이성경,황만익,임별,양병철
25,,12/08(일),15:00,박강현,정성화,최지혜,이상준,윤선용,방보용
26,,12/10(화),19:30,김준수,강홍석,이성경,이상준,임별,방보용
27,,12/11(수),19:30,김준수,정성화,이성경,황만익,윤선용,양병철
28,전관,12/12(목),19:30,김준수,강홍석,민경아,황만익,임별,방보용
29,,12/13(금),14:30,박강현,정원영,민경아,이상준,윤선용,양병철
30,,12/13(금),19:30,박강현,강홍석,민경아,이상준,윤선용,양병철
31,,12/14(토),14:00,서경수,정원영,최지혜,황만익,임별,방보용
32,,12/14(토),19:00,서경수,정성화,최지혜,황만익,임별,방보용
33,,12/15(일),15:00,박강현,정원영,최지혜,이상준,윤선용,양병철
34,,12/17(화),19:30,김준수,강홍석,이성경,이상준,임별,양병철
35,,12/18(수),19:30,박강현,정성화,민경아,황만익,윤선용,방보용
36,,12/19(목),19:30,서경수,강홍석,최지혜,황만익,윤선용,양병철
37,,12/20(금),14:30,김준수,정원영,민경아,이상준,임별,방보용
38,,12/20(금),19:30,박강현,강홍석,민경아,이상준,임별,방보용
39,,12/21(토),14:00,서경수,정성화,최지혜,황만익,윤선용,양병철
40,,12/21(토),19:00,박강현,정원영,이성경,황만익,윤선용,양병철
41,,12/22(일),15:00,김준수,정성화,최지혜,이상준,임별,방보용
42,,12/24(화),14:30,박강현,강홍석,이성경,이상준,윤선용,양병철
43,,12/24(화),19:30,서경수,정성화,최지혜,이상준,윤선용,양병철
44,,12/25(수),14:00,김준수,정원영,민경아,황만익,임별,방보용
45,,12/25(수),19:00,박강현,강홍석,민경아,황만익,임별,방보용
46,,12/26(목),19:30,서경수,정원영,민경아,이상준,윤선용,양병철
47,,12/27(금),19:30,김준수,강홍석,이성경,이상준,윤선용,양병철
48,,12/28(토),14:00,박강현,정성화,최지혜,황만익,임별,방보용
49,,12/28(토),19:00,김준수,정원영,최지혜,황만익,임별,방보용
50,,12/29(일),15:00,서경수,정성화,이성경,이상준,윤선용,양병철
51,,12/31(화),14:30,서경수,강홍석,민경아,이상준,윤선용,방보용
52,,12/31(화),19:30,김준수,정성화,민경아,이상준,윤선용,방보용
53,,01/01(수),14:00,서경수,정원영,최지혜,황만익,임별,양병철
54,,01/01(수),19:00,박강현,강홍석,최지혜,황만익,임별,양병철
55,,01/03(금),19:30,박강현,정성화,이성경,황만익,임별,양병철
56,티켓데이,01/04(토),14:00,김준수,강홍석,민경아,이상준,윤선용,방보용
57,,01/04(토),19:00,박강현,정성화,최지혜,이상준,윤선용,방보용
58,,01/05(일),15:00,김준수,정원영,이성경,황만익,임별,양병철
59,,01/07(화),19:30,박강현,강홍석,이성경,이상준,임별,양병철
60,,01/08(수),14:30,서경수,정성화,최지혜,황만익,윤선용,방보용
61,,01/08(수),19:30,김준수,강홍석,민경아,황만익,윤선용,방보용
62,,01/09(목),19:30,서경수,정원영,이성경,이상준,임별,양병철
63,,01/10(금),14:30,박강현,정성화,민경아,황만익,윤선용,방보용
64,,01/10(금),19:30,서경수,강홍석,민경아,황만익,윤선용,방보용
65,,01/11(토),14:00,김준수,정원영,최지혜,이상준,임별,양병철
66,,01/11(토),19:00,김준수,정성화,최지혜,이상준,임별,양병철
67,,01/12(일),15:00,박강현,정원영,이성경,황만익,윤선용,방보용
68,,01/14(화),19:30,서경수,강홍석,이성경,이상준,임별,방보용
69,,01/15(수),19:30,박강현,정성화,민경아,황만익,윤선용,양병철
70,,01/16(목),19:30,서경수,정원영,민경아,황만익,윤선용,양병철
71,,01/17(금),14:30,김준수,강홍석,최지혜,이상준,임별,방보용
72,,01/17(금),19:30,박강현,정원영,최지혜,이상준,임별,방보용
73,YES24DAY,01/18(토),14:00,김준수,강홍석,이성경,황만익,윤선용,양병철
74,YES24DAY,01/18(토),19:00,박강현,정성화,민경아,황만익,윤선용,양병철
75,YES24DAY,01/19(일),15:00,김준수,정원영,최지혜,이상준,임별,방보용
76,,01/21(화),19:30,김준수,정성화,이성경,이상준,윤선용,양병철
77,,01/22(수),19:30,서경수,강홍석,최지혜,황만익,임별,방보용
78,,01/23(목),19:30,박강현,정원영,민경아,이상준,임별,방보용
79,,01/24(금),14:30,김준수,정성화,최지혜,황만익,윤선용,양병철
80,,01/24(금),19:30,박강현,강홍석,이성경,황만익,윤선용,양병철
81,,01/25(토),14:00,서경수,정원영,민경아,이상준,임별,방보용
82,,01/25(토),19:00,김준수,정성화,민경아,이상준,임별,방보용
83,,01/26(일),15:00,박강현,정원영,최지혜,황만익,윤선용,양병철
84,,01/28(화),14:00,서경수,강홍석,민경아,이상준,임별,양병철
85,,01/28(화),19:00,박강현,정원영,이성경,이상준,임별,방보용
86,,01/29(수),19:00,김준수,정성화,최지혜,황만익,윤선용,양병철
87,,01/30(목),14:00,서경수,강홍석,이성경,이상준,임별,방보용
88,,01/30(목),19:00,박강현,정성화,민경아,황만익,윤선용,방보용
89,,01/31(금),19:30,서경수,정원영,최지혜,이상준,윤선용,방보용
90,,02/01(토),14:00,김준수,강홍석,이성경,황만익,임별,양병철
91,,02/01(토),19:00,박강현,정성화,최지혜,황만익,임별,양병철
92,빗썸 전관,02/02(일),15:00,김준수,정원영,민경아,이상준,윤선용,방보용
93,,02/04(화),19:30,박강현,강홍석,최지혜,이상준,임별,방보용
94,,02/05(수),19:30,김준수,정성화,민경아,황만익,윤선용,양병철
95,,02/06(목),19:30,서경수,정원영,이성경,황만익,임별,방보용
96,,02/07(금),14:30,김준수,강홍석,최지혜,이상준,윤선용,양병철
97,,02/07(금),19:30,박강현,강홍석,최지혜,이상준,윤선용,양병철
98,,02/08(토),14:00,서경수,정성화,민경아,황만익,임별,방보용
99,,02/08(토),19:00,박강현,정원영,민경아,황만익,임별,방보용
100,,02/09(일),15:00,서경수,정성화,이성경,이상준,윤선용,양병철
101,,02/11(화),19:30,김준수,강홍석,최지혜,이상준,임별,방보용
102,,02/12(수),14:30,박강현,정원영,이성경,황만익,윤선용,양병철
103,,02/12(수),19:30,서경수,정성화,민경아,황만익,윤선용,양병철
104,,02/13(목),19:30,박강현,강홍석,최지혜,이상준,임별,방보용
105,,02/14(금),14:30,김준수,정성화,이성경,황만익,윤선용,양병철
106,,02/14(금),19:30,서경수,정원영,최지혜,황만익,윤선용,양병철
107,,02/15(토),14:00,박강현,정성화,민경아,이상준,임별,방보용
108,,02/15(토),19:00,김준수,정원영,민경아,이상준,임별,방보용
109,,02/16(일),15:00,서경수,강홍석,이성경,황만익,윤선용,양병철
110,,02/18(화),19:30,박강현,정원영,민경아,황만익,윤선용,양병철
111,,02/19(수),19:30,김준수,정성화,최지혜,이상준,임별,방보용
112,,02/20(목),19:30,서경수,강홍석,이성경,이상준,윤선용,양병철
113,,02/21(금),14:30,박강현,정성화,최지혜,황만익,임별,방보용
114,,02/21(금),19:30,김준수,정원영,민경아,황만익,임별,방보용
115,,02/22(토),14:00,박강현,강홍석,최지혜,이상준,윤선용,양병철
116,,02/22(토),19:00,서경수,정성화,이성경,이상준,윤선용,양병철
117,,02/23(일),15:00,김준수,정원영,민경아,황만익,임별,방보용
118,,02/25(화),19:30,김준수,정성화,이성경,이상준,임별,방보용
119,,02/26(수),19:30,서경수,정원영,최지혜,이상준,윤선용,방보용
120,,02/27(목),19:30,박강현,강홍석,최지혜,황만익,임별,양병철
121,,02/28(금),19:30,김준수,강홍석,민경아,황만익,윤선용,양병철
122,,03/01(토),14:00,서경수,정원영,이성경,이상준,임별,방보용
123,,03/01(토),19:00,박강현,정성화,민경아,이상준,임별,방보용
124,,03/02(일),14:00,김준수,정원영,최지혜,황만익,윤선용,양병철
125,,03/02(일),19:00,박강현,강홍석,이성경,황만익,윤선용,양병철
126,,03/03(월),15:00,서경수,정성화,민경아,이상준,임별,방보용
127,,03/05(수),19:30,박강현,강홍석,민경아,이상준,윤선용,양병철
128,,03/06(목),19:30,김준수,정원영,최지혜,황만익,임별,방보용
129,,03/07(금),14:30,서경수,정성화,이성경,황만익,윤선용,양병철
130,,03/07(금),19:30,박강현,정원영,이성경,황만익,윤선용,양병철
131,,03/08(토),14:00,서경수,강홍석,최지혜,이상준,임별,방보용
132,,03/08(토),19:00,김준수,정성화,이성경,이상준,임별,방보용
133,,03/09(일),15:00,서경수,정원영,민경아,황만익,윤선용,양병철
134,,03/11(화),19:30,박강현,정성화,최지혜,이상준,윤선용,양병철
135,,03/12(수),19:30,서경수,정원영,이성경,이상준,임별,방보용
136,,03/13(목),19:30,박강현,강홍석,민경아,황만익,윤선용,양병철
137,,03/14(금),14:30,서경수,정성화,이성경,황만익,임별,방보용
138,,03/14(금),19:30,김준수,정원영,이성경,황만익,임별,방보용
139,,03/15(토),14:00,서경수,강홍석,민경아,이상준,윤선용,양병철
140,,03/15(토),19:00,박강현,정성화,최지혜,이상준,윤선용,양병철
141,,03/16(일),15:00,김준수,강홍석,민경아,황만익,임별,방보용
142,,03/18(화),19:30,서경수,정성화,이성경,이상준,윤선용,방보용
143,,03/19(수),14:30,김준수,정원영,최지혜,황만익,임별,양병철
144,,03/19(수),19:30,박강현,강홍석,이성경,이상준,임별,양병철
145,,03/20(목),19:30,서경수,강홍석,민경아,황만익,윤선용,방보용
146,,03/21(금),14:30,박강현,정성화,최지혜,이상준,임별,양병철
147,,03/21(금),19:30,서경수,정원영,민경아,이상준,임별,양병철
148,,03/22(토),14:00,김준수,정성화,이성경,황만익,윤선용,방보용
149,,03/22(토),19:00,서경수,정원영,이성경,황만익,윤선용,방보용
150,,03/23(일),15:00,박강현,강홍석,민경아,이상준,임별,양병철
151,,03/25(화),19:30,박강현,정성화,최지혜,이상준,임별,양병철
152,,03/26(수),19:30,서경수,정원영,민경아,이상준,윤선용,방보용
153,,03/27(목),19:30,박강현,강홍석,이성경,황만익,임별,양병철
154,,03/28(금),14:30,김준수,정원영,최지혜,황만익,윤선용,방보용
155,,03/28(금),19:30,김준수,강홍석,민경아,황만익,윤선용,방보용
156,,03/29(토),14:00,서경수,정성화,이성경,이상준,임별,양병철
157,,03/29(토),19:00,서경수,정원영,이성경,이상준,임별,양병철
158,,03/30(일),15:00,김준수,강홍석,민경아,황만익,윤선용,방보용
159,,04/01(화),19:30,서경수,정성화,민경아,이상준,임별,양병철
160,,04/02(수),19:30,박강현,강홍석,이성경,황만익,임별,방보용
161,,04/03(목),19:30,서경수,정원영,최지혜,황만익,윤선용,양병철
162,,04/04(금),14:30,김준수,강홍석,이성경,이상준,임별,방보용
163,,04/04(금),19:30,박강현,정성화,이성경,이상준,임별,방보용
164,,04/05(토),14:00,서경수,강홍석,민경아,황만익,윤선용,양병철
165,,04/05(토),19:00,김준수,정원영,최지혜,황만익,윤선용,양병철
166,,04/06(일),15:00,서경수,정성화,이성경,이상준,임별,방보용
167,,04/08(화),19:30,박강현,정성화,민경아,황만익,임별,방보용
168,,04/09(수),14:30,김준수,강홍석,이성경,이상준,윤선용,양병철
169,,04/09(수),19:30,서경수,정원영,최지혜,황만익,윤선용,양병철
170,,04/10(목),19:30,박강현,정원영,이성경,황만익,임별,방보용
171,,04/11(금),14:30,김준수,정성화,민경아,이상준,윤선용,양병철
172,,04/11(금),19:30,서경수,강홍석,민경아,황만익,윤선용,양병철
173,전관,04/12(토),14:00,김준수,정원영,이성경,이상준,임별,방보용
174,인터파크 스테이지,04/12(토),19:00,박강현,강홍석,이성경,이상준,임별,방보용
175,,04/13(일),15:00,서경수,정성화,최지혜,황만익,윤선용,양병철
176,,04/15(화),19:30,박강현,강홍석,민경아,이상준,임별,방보용
177,,04/16(수),19:30,김준수,정성화,이성경,황만익,윤선용,양병철
178,,04/17(목),19:30,서경수,정원영,이성경,황만익,윤선용,방보용
179,,04/18(금),14:30,박강현,정성화,최지혜,이상준,임별,양병철
180,,04/18(금),19:30,서경수,강홍석,민경아,이상준,임별,양병철
181,,04/19(토),14:00,박강현,정성화,이성경,황만익,윤선용,방보용
182,,04/19(토),19:00,김준수,강홍석,민경아,황만익,윤선용,방보용
183,,04/20(일),15:00,서경수,정원영,최지혜,이상준,임별,양병철
184,,04/22(화),19:30,김준수,정성화,이성경,이상준,윤선용,양병철
185,,04/23(수),14:30,박강현,강홍석,민경아,황만익,임별,방보용
186,,04/23(수),19:30,김준수,정원영,이성경,이상준,임별,방보용
187,,04/24(목),19:30,박강현,정성화,이성경,황만익,윤선용,양병철
188,,04/25(금),14:30,서경수,강홍석,최지혜,이상준,임별,방보용
189,,04/25(금),19:30,박강현,정원영,최지혜,황만익,임별,방보용
190,,04/26(토),14:00,서경수,강홍석,민경아,이상준,윤선용,양병철
191,,04/26(토),19:00,서경수,정성화,민경아,이상준,윤선용,양병철
192,,04/27(일),15:00,서경수,정원영,최지혜,황만익,임별,방보용
193,,04/29(화),19:30,김준수,강홍석,최지혜,이상준,임별,양병철
194,,04/30(수),19:30,박강현,정성화,민경아,이상준,윤선용,방보용
195,,05/01(목),19:30,서경수,정원영,이성경,황만익,윤선용,방보용
196,,05/02(금),19:30,박강현,강홍석,최지혜,황만익,임별,방보용
197,,05/03(토),14:00,김준수,정원영,민경아,이상준,윤선용,양병철
198,,05/03(토),19:00,서경수,정성화,민경아,이상준,윤선용,양병철
199,,05/04(일),15:00,박강현,강홍석,이성경,황만익,윤선용,방보용
200,,05/05(월),14:00,김준수,정원영,민경아,황만익,임별,양병철
201,,05/05(월),19:00,서경수,강홍석,최지혜,황만익,임별,양병철
202,,05/06(화),15:00,박강현,정성화,이성경,이상준,윤선용,방보용
203,,05/08(목),19:30,박강현,정원영,민경아,황만익,임별,양병철
204,,05/09(금),14:30,김준수,정성화,이성경,이상준,윤선용,방보용
205,,05/09(금),19:30,서경수,강홍석,민경아,이상준,윤선용,방보용
206,,05/10(토),14:00,박강현,정원영,최지혜,황만익,임별,양병철
207,,05/10(토),19:00,서경수,정성화,최지혜,황만익,임별,양병철
208,,05/11(일),15:00,김준수,강홍석,민경아,이상준,윤선용,방보용
209,,05/13(화),19:30,박강현,정성화,최지혜,이상준,윤선용,양병철
210,,05/14(수),19:30,김준수,정원영,이성경,이상준,임별,방보용
211,,05/15(목),19:30,서경수,강홍석,최지혜,황만익,임별,방보용
212,,05/16(금),14:30,서경수,정원영,민경아,황만익,윤선용,양병철
213,,05/16(금),19:30,서경수,정성화,민경아,황만익,윤선용,양병철
214,,05/17(토),14:00,김준수,강홍석,최지혜,이상준,임별,방보용
215,,05/17(토),19:00,김준수,정원영,이성경,이상준,임별,방보용
216,,05/18(일),15:00,서경수,강홍석,민경아,황만익,윤선용,양병철
217,,05/20(화),19:30,김준수,정원영,민경아,이상준,윤선용,양병철
218,,05/21(수),14:30,박강현,정성화,최지혜,황만익,임별,방보용
219,,05/21(수),19:30,서경수,강홍석,이성경,황만익,임별,방보용
220,,05/22(목),19:30,서경수,강홍석,민경아,황만익,윤선용,양병철
221,,05/23(금),14:30,박강현,정원영,최지혜,이상준,임별,방보용
222,,05/23(금),19:30,서경수,정성화,최지혜,이상준,임별,방보용
223,,05/24(토),14:00,김준수,강홍석,이성경,황만익,윤선용,양병철
224,,05/24(토),19:00,서경수,정성화,이성경,황만익,윤선용,양병철
225,,05/25(일),15:00,박강현,정원영,민경아,이상준,임별,방보용
226,,05/27(화),19:30,서경수,강홍석,민경아,이상준,임별,양병철
227,,05/28(수),19:30,박강현,정원영,이성경,이상준,윤선용,방보용
228,,05/29(목),19:30,김준수,정성화,최지혜,황만익,윤선용,방보용
229,,05/30(금),14:30,박강현,강홍석,민경아,황만익,임별,양병철
230,,05/30(금),19:30,서경수,정성화,민경아,황만익,임별,양병철
231,,05/31(토),14:00,박강현,정원영,최지혜,이상준,윤선용,방보용
232,,05/31(토),19:00,김준수,강홍석,최지혜,이상준,윤선용,방보용
233,,06/01(일),15:00,서경수,정성화,이성경,이상준,임별,양병철
234,,06/03(화),19:30,서경수,강홍석,최지혜,이상준,윤선용,방보용
235,,06/04(수),14:30,김준수,정성화,이성경,황만익,임별,양병철
236,,06/04(수),19:30,서경수,정원영,이성경,황만익,임별,양병철
237,,06/05(목),19:30,박강현,정원영,민경아,황만익,윤선용,방보용
238,,06/06(금),14:00,서경수,강홍석,최지혜,이상준,임별,양병철
239,,06/06(금),19:00,박강현,정성화,최지혜,이상준,임별,양병철
240,,06/07(토),14:00,김준수,강홍석,민경아,황만익,윤선용,방보용
241,,06/07(토),19:00,서경수,정성화,민경아,황만익,윤선용,방보용
242,,06/08(일),15:00,박강현,정원영,이성경,이상준,임별,양병철
243,,06/10(화),19:30,김준수,강홍석,이성경,황만익,윤선용,양병철
244,,06/11(수),14:30,서경수,정원영,최지혜,이상준,윤선용,방보용
245,,06/11(수),19:30,박강현,정성화,최지혜,황만익,윤선용,양병철
246,,06/12(목),19:30,서경수,강홍석,이성경,황만익,임별,방보용
247,,06/13(금),14:30,서경수,정성화,민경아,이상준,임별,양병철
248,,06/13(금),19:30,박강현,정원영,민경아,이상준,임별,양병철
249,,06/14(토),14:00,서경수,강홍석,최지혜,황만익,윤선용,방보용
250,,06/14(토),19:00,서경수,정원영,최지혜,황만익,윤선용,방보용
251,,06/15(일),15:00,서경수,정성화,민경아,이상준,임별,양병철
252,,06/17(화),19:30,서경수,강홍석,최지혜,황만익,임별,방보용
253,,06/18(수),14:30,김준수,정성화,민경아,황만익,임별,양병철
254,,06/18(수),19:30,서경수,정원영,민경아,이상준,윤선용,양병철
255,,06/19(목),19:30,박강현,정성화,최지혜,황만익,윤선용,방보용
256,,06/20(금),19:30,김준수,강홍석,민경아,이상준,윤선용,방보용
257,,06/21(토),14:00,박강현,정원영,이성경,황만익,임별,방보용
258,막공,06/21(토),19:00,서경수,정성화,이성경,이상준,윤선용,양병철
259,막공,06/22(일),14:00,김준수,정원영,최지혜,이상준,임별,방보용
260,막공,06/22(일),19:00,박강현,강홍석,민경아,황만익,임별,양병철